file,row,created_at
election-filter1.txt,8200000,2016-07-29
election-filter1.txt,8300000,2016-07-29
election-filter1.txt,8400000,2016-07-29
election-filter1.txt,8500000,2016-07-29
election-filter1.txt,8600000,2016-07-29
election-filter1.txt,8700000,2016-07-29
election-filter1.txt,8800000,2016-07-29
election-filter1.txt,8900000,2016-07-29
election-filter1.txt,9000000,2016-07-29
election-filter1.txt,9100000,2016-07-29
election-filter1.txt,9200000,2016-07-29
election-filter1.txt,9300000,2016-07-29
election-filter1.txt,9400000,2016-07-29
election-filter1.txt,9500000,2016-07-29
election-filter1.txt,9600000,2016-07-30
election-filter1.txt,9700000,2016-07-30
election-filter1.txt,9800000,2016-07-30
election-filter1.txt,9900000,2016-07-30
election-filter1.txt,10000000,2016-07-30
election-filter1.txt,10100000,2016-07-30
election-filter1.txt,10200000,2016-07-30
election-filter1.txt,10300000,2016-07-30
election-filter1.txt,10400000,2016-07-30
election-filter1.txt,10500000,2016-07-30
election-filter1.txt,10600000,2016-07-30
election-filter1.txt,10700000,2016-07-30
election-filter1.txt,10800000,2016-07-30
election-filter1.txt,10900000,2016-07-30
election-filter1.txt,11000000,2016-07-30
election-filter1.txt,11100000,2016-07-30
election-filter1.txt,11200000,2016-07-30
election-filter1.txt,11300000,2016-07-30
election-filter1.txt,11400000,2016-07-30
election-filter1.txt,11500000,2016-07-30
election-filter1.txt,11600000,2016-07-30
election-filter1.txt,11700000,2016-07-30
election-filter1.txt,11800000,2016-07-30
election-filter1.txt,11900000,2016-07-30
election-filter1.txt,12000000,2016-07-31
election-filter1.txt,12100000,2016-07-31
election-filter1.txt,12200000,2016-07-31
election-filter1.txt,12300000,2016-07-31
election-filter1.txt,12400000,2016-07-31
election-filter1.txt,12500000,2016-07-31
election-filter1.txt,12600000,2016-07-31
election-filter1.txt,12700000,2016-07-31
election-filter1.txt,12800000,2016-07-31
election-filter1.txt,12900000,2016-07-31
election-filter1.txt,13000000,2016-07-31
election-filter1.txt,13100000,2016-07-31
election-filter1.txt,13200000,2016-07-31
election-filter1.txt,13300000,2016-07-31
election-filter1.txt,13400000,2016-07-31
election-filter1.txt,13500000,2016-07-31
election-filter1.txt,13600000,2016-07-31
election-filter1.txt,13700000,2016-07-31
election-filter1.txt,13800000,2016-07-31
election-filter1.txt,13900000,2016-07-31
election-filter1.txt,14000000,2016-07-31
election-filter1.txt,14100000,2016-07-31
election-filter1.txt,14200000,2016-07-31
