id,created_at,text,screen_name,description,location,followers_count,statuses_count,retweet_count
"793442945055666176","2016-11-01","rt newsweek trump su four state alleg voter intimid effort","carol_clovely4","grandmoth four will alway hrc resist hate trump everi fiber democrat parti yes berni","CA","3899","230643","811"
"793442947886944257","2016-11-01","rt fbi offic look foundat alreadi email if hillari win ll step down amp stuck clo","Expedition1Eric","maga support blue support our arm forc bsa fish scuba die hard trump support gop constitut","NY","1054","99830","117"
"793442945491996672","2016-11-01","rt son us navi seal marcus luttrel cast vote hillari clinton kill friend shirt nov everyon","realtyleryz","presid founder sainat contributor dcexamin dc nativ fight second amend selfdefens right","WA","3020","8129","2677"
"793442947941470208","2016-11-01","rt loudobb giuliani enough evid now for a rico case against clinton realclearpolit maga","iheskl","father believ god countri maga conserv","NY","823","19405","1367"
"793442947412787201","2016-11-01","rt courageofwisdom clinton s corrupt keep get deeper amp paid off plant laughabl dnc assured just prove voter fraud","Wendy_Astrology","twixt earth sky spiritu counsel astrolog newslett","NM","196","8140","91"
"793442949912723457","2016-11-01","the donald trump hillari clinton run presid cnn","ChristofferAsa","willing chang strength even mean plung part compani total confus","CO","265","229099","0"
"793442948566355968","2016-11-01","mormon outsid evan mcmullin threaten win utah gop loyalist fight back religi bigotri","TheRReport","unapologet progress globalh forest water incomeinequ humanright doc english lit follow public polici resist","NY","12604","152203","3"
"793442947102564352","2016-11-01","louisemensch it s known fact take exampl war crimin netanyahu interf elect wcoll","Tuniekc","mom defend adosforlif ftp leaderless breast cancer survivor explicit cuss hard love don t test me","DC","3824","159455","0"
"793442954832515073","2016-11-01","rt kellyannepol where stench end hillari two offici favor to morocco result in million for clinton foundat http","Kelly62u","secur pro god bless ussbelleauwood usnavi veteran","TX","2452","61051","6082"
"793442955474251776","2016-11-01","hillaryclinton which reason","MichaelFJF","realtor handbal player usaf veteran","UT","51","8792","0"
"793442959005929472","2016-11-01","rt anyon wake today decid hillari clinton good choic lead countri yeah neither","Conservatexian","overeduc conserv cowboy thinker sailor soldier spi retireddis paratroop professor coasti privat detect i nt suffer fool well","FL","40394","550806","124"
"793442956984197120","2016-11-01","the veng world donald trump matter","cbn2","retir civic prof current doctor student minist s daughter summa cum laud research interest neuroplast ai nlp bot follow attempt block","AK","5293","161471","0"
"793442954144718848","2016-11-01","does jamescomeyfbi nice lbd like jedgar lockhimup","SmikeCarl","notmypresid insight medit gofindoutforyourself resist","AZ","2024","28984","0"
"793442953016385536","2016-11-01","rt newday tgowdysc comey letter clinton email we re convers clinton comey","GodsGotThis45","ca nt believ much i freak love appreci my presid qanon draintheswamp lockherup pedog buildthewal backtheblu maga","TX","3850","69898","1548"
"793442953373032448","2016-11-01","rt realdonaldtrump crook hillari allow run presid she delet email after get subpoena u","JesseMizell","d e print co inc","IN","457","8650","20320"
"793442955352834048","2016-11-01","rt johnfund does anyon think would nt firestorm demand reinc priebus resign rnc chair done","LiliWeegs","","NH","234","18876","742"
"793442958892818432","2016-11-01","rt investig donald trump clinton hillari gt gt you forgot bring huma obamabrazilehuma get lone is","lisam02184","eye wide open maga kag protectourconstitut backtheblu militari potus blexit walkaway cancerfight twitterphilanthropi","FL","7249","240088","52"
"793442958485905408","2016-11-01","rt sourceshaveconfirm debatenight cuban american amp florida latino s vote realdonaldtrump trump fever htt","KrisSGator","proud patriot armi sfveteran wife mom former journalist christian dog lover uf alumna trump support maga","FL","6834","106373","82"
"793442952743907329","2016-11-01","rt noooo trump ruin foreign relat say support woman arm enemi","StandAdk","america one nation under god amendmentfreedom free","VA","355","22006","32"
"793442956120297473","2016-11-01","rt realdonaldtrump thank greeley co real chang mean restor honesti govt our plan end govt corrupt watch htt","ckemp1542400","behind potus realdonaldtrump maga","PA","15570","247228","10239"
"793442965972811777","2016-11-01","rt mollyesqu make sens","SeriouslyJr","teamcastro i alway want smoke","NJ","1642","210615","13"
"793442968271290368","2016-11-01","rt libdempress this byelect happen complet utter fail block heathrow expans it nt happen","DanW9","","MD","628","10647","159"
"793442965083475968","2016-11-01","rt peter thiel what trump repres nt crazi s go away","AndreaLyn1960","god famili countri deplor excalifornian nascar walkaway kag","AR","1103","4844","40"
"793442964236296192","2016-11-01","rt maxboot heartbreak trump s america immigrantentrepreneur attack employ refuge","paulnovosad","morass disjoint stream conscious","NH","2518","910","59"
"793442962420199433","2016-11-01","msterre terre you re wonder elect is rig fact","EMTalkery","novel vid w john cullum","NY","8442","352370","0"
"793442965167321089","2016-11-01","rt loudobb giuliani enough evid now for a rico case against clinton realclearpolit maga","Tglain","","FL","637","55954","1367"
"793442962692800512","2016-11-01","rt yelrahh yall chose hillari and trump over this","ahhunnitK","wvu alum west virginia alpha ig ahhunnitk","NJ","836","50961","22831"
"793442960553742336","2016-11-01","and problem exact","AngelaLMorabito","passion polit cultur media ethic doubl hoya view borrow whenev person account","WA","5414","20926","3"
"793442966497026048","2016-11-01","rt arodstraus this elect simpl u want higher tax lower do u want terrorist dead terrorist more job less j","AChristianVet","i m leon christian armi vet prolif no toler bulli psalm rescu weak needi deliv hand wick","IN","1148","12457","2"
